Japanese,Pronunciation + Vietnamese Translation,Tags
きた,kita - phía Bắc,Directions
ひがし,higashi - phía Đông,Directions
みなみ,minami - phía Nam,Directions
にし,nishi - phía Tây,Directions
くるま,kuruma - ô tô, xe hơi,Transportation
ひこうき,hikouki - máy bay,Transportation
しんかんせん,shinkansen - tàu cao tốc,Transportation
でんしゃ,densha - tàu điện,Transportation
まち,machi - thành phố,Places
えき,eki - nhà ga,Places
あるいて,aruite - đi bộ,Actions
どのくらい/どのぐらい,donokurai/donogurai - bao lâu,Time
おんせん,onsen - suối nước nóng,Places
かわ,kawa - sông,Nature
やま,yama - núi,Nature
きょうかい,kyoukai - nhà thờ,Places
おしろ,oshiro - lâu đài, thành,Places
じんじゃ,jinja - đền thờ,Places
おてら,otera - chùa,Places
ビル,biru - tòa nhà,Places
ところ,tokoro - nơi chốn,Places
ひと,hito - người,People
みどり,midori - màu xanh lá cây,Colors
あります,arimasu - có (sở hữu),Verbs
あたらしい,atarashii - mới,Adjectives
ふるい,furui - cũ,Adjectives
いい,ii - tốt,Adjectives
おおい,ooi - nhiều,Adjectives
すくない,sukunai - ít,Adjectives
おおきい,ookii - to lớn,Adjectives
ちいさい,chiisai - nhỏ, bé,Adjectives
たかい,takai - cao, đắt,Adjectives
ひくい,hikui - thấp,Adjectives
きれい（な）,kirei (na) - đẹp, sạch sẽ,Adjectives
しずか (な),shizuka (na) - yên tĩnh,Adjectives
にぎやか (な),Nigiyaka (na) - náo nhiệt,Adjectives
ゆうめい (な),yuumei (na) - nổi tiếng,Adjectives
どんな N,donna N - N như thế nào?,Question Words
そして,soshite - và,Conjunctions
あめ,ame - mưa,Nature
ゆき,yuki - tuyết,Nature
ひ,hi - ngày/mặt trời,Nature
メロン,meron - dưa gang (dưa lưới),Food
Japanese,Pronunciation + Vietnamese Translation,Tags
あたたかい,atatakai - ấm áp (thời tiết),Weather
すずしい,suzushii - mát ẻ,Weather
あつい,astui - nóng bức (thời tiết),Weather
さむい,samui - Lạnh, rét (thời tiết),Weather
あたたかい,atatakai - ấm (nhiệt độ, cảm giác),Temperature
あつい,astui - nóng (nhiệt độ),Temperature
てんきがいい,tenkigaii - thời tiết đẹp,Weather
てんきがわるい,tenkigawarui - thời tiết xấu,Weather
つめたい,tsumetai - lạnh, buốt (nhiệt độ, cảm giác),Temperature
おいしい,oishii - ngon,Taste
あまい,amai - ngọt,Taste
からい,karai - cay,Taste
たがい,tagai - đắng,Taste
すっぱい,suppai - chua,Taste
いちねんじゅう,ichinenjuu - suốt 1 năm,Time
あまり,amari - không ~ lắm,Adverbs
すこし,sukoshi - một chút, một ít,Adverbs
とても,totemo - rất,Adverbs
おととい,ototoi - hôm kia,Time
きのう,kinou - hôm qua,Time
きょう,kyou - hôm nay,Time
あした,ashita - ngày mai,Time
あさって,asatte - ngày kia,Time
せんしゅう,senshuu - tuần trước,Time
しゅうまつ,shuumatsu - cuối tuần,Time
いえ,ie - ngôi nhà,Places
へや,heya - căn phòng,Places
デパート,depaato - Trung tâm thương mại,Places
びじゅつかん,bijutsukan - bảo tàng mỹ thuật,Places
ゲーム,geemu - game,Entertainment
かぞく,kazoku - gia đình,People
こいびと,koibito - người yêu,People
ともだち,tomodachi - bạn bè,People
ルームメイト,ruumumeito - bạn cùng phòng,People
どこか(へ),dokoka (he) - Nơi nào đó,Places
あいます,aimasu - gặp gỡ,Verbs
つくります,stukurimasu - làm, chế tạo,Verbs
かいものします,kaimonoshimasu - mua sắm,Verbs
しょくじします,shyokujishimasu - dùng bữa, ăn uống,Verbs
せんたくします,sentakushimasu - giặt giũ,Verbs
そうじします,soujishimasu - hút bụi, lau dọn nhà cửa,Verbs
それから,sorekara - sau đó,Conjunctions
ひとりで,hitoride - một mình,Adverbs
けさ,kesa - sáng nay,Time
せんげつ,sengetsu - tháng trước,Time
きょねん,kyonen - năm ngoái,Time
かぜ,kaze - gió, cảm cúm,Nature
てんき,tenki - thời tiết,Nature
ばんごはん,bangohan - bữa tối,Food
ふく,fuku - quần áo,Clothing
のぼります,noborimasu - leo
はいります,hairimasu - vào, bước vào,Verbs
いそがしい,isogashii - bận rộn,Adjectives
おもしろい,omoshiroi - thú vị,Adjectives
おもちがいい,omochigaii - cảm thấy sảng khoái,Adjectives
たのしい,tanoshii - vui vẻ,Adjectives
むずかしい,muzukashii - khó,Adjectives
かんたん (な),kantan - dễ, đơn giản,Adjectives
たいへん (な),taihen - vất vả,Adjectives
ひま (な),hima - rảnh rỗi,Adjectives
どうして,doushite - tại sao,Question Words
から,kara - vì,Conjunctions
こんど,kondo - lần tới,Time
こんばん,konban - tối nay,Time
ことし,kotoshi - năm nay,Time
らいねん,rainen - năm sau,Time
らいねん,rainen - năm sau,Time
え,e - tranh vẽ,Art
アニメ,anime - hoạt hình,Art
けしき,keshiki - phong cảnh,Art
じてんしゃ,jitenshya - xe đạp,Transportation
しゃしん,shyashin - Ảnh,Art
とります,torimasu - chụp ảnh,Verbs
かります,karimasu - mượn, vay,Verbs
ほしい,hoshii - muốn có,Adjectives
すき (な),suki - thích,Adjectives
きらい (な),kirai - ghét,Adjectives
こんげつ,kongestu - tháng này,Time
らいげつ,raigestu - tháng sau,Time
それから、,〜 。それから、〜 - sau đó,Conjunctions
カラオケ,karaoke - Hát karaoke,Entertainment
コンサート,konsaato - buổi hòa nhạc,Entertainment
しあい,shiai - trận đấu,Entertainment
セール,seeru - sale,Shopping
モケット,ｍoketto - vé,Shopping
ちず,chizu - bản đồ,Art
ドライブ,doraibu - lái xe,Transportation
みずざ,mizuza - đồ bơi,Clothing
やきゅう,yakyuu - bóng chày,Entertainment
カラオケにうきます,đi hát karaoke,Verbs
ドライブにいきます,Lái xe đi phượt,Verbs
ドライブします,lái xe (đi chơi),Verbs
やくそく,yakusoku - cuộc hẹn, lời hứa,Nouns
ようじ,youji - việc bận/ việc riêng,Nouns
ざんねん,zannen - tiếc nuối,Nouns
いっしょに,isshoni - cùng nhau,Adverbs
いいですね,iidesune - hay đấy, được đấy,Expressions
またこんど,matakondo - hẹn lần sau,Expressions
たべもの,tabemono - đồ ăn,Food
のみもの,nomimono - đồ uống,Food
やきにく,yakiniku - thịt nướng,Food
ラーメン,raamen - mỳ Nhật,Food
たべほうだい,tabehodai - ăn buffe,Food
コース,koosu - suất ăn/khóa học,Food
いざかや,izakaya - quán rượu,Places
えいがかん,eigakan - rạp chiếu phim,Places
じかてつ,jikatestu - tàu điện ngầm,Transportation
かしゅ,kasyu - ca sỹ,People
きせつ,kisetsu - mùa,Nature
コメディー,komedii - hài kịch,Entertainment
ジャズ,jazu - nhạc jazz,Entertainment
ツアー,stuaa - tour du lịch,Entertainment
どちら／どちらも,dochira/dochiramo - bên nào, phương nào / bên nào cũng,Question Words
ちかい,chikai - gần,Adjectives
とおい,Tooi - xa,Adjectives
はやい,hayai - nhanh, sớm,Adjectives
ひろい,hiroi - rộng,Adjectives
いちばん,ichiban - nhất,Adjectives
ぜんぶ,zenbu - toàn bộ,Adjectives
そうですねえ,soudesunee - câu nói ngập ngừng khi suy nghĩ để trả lời câu hỏi,Expressions
すきやき,sukiyaki - món nhúng có thịt bò và rau,Food
おこのみやき,okonomiyaki - món bánh xèo Nhật,Food
あそびます,asobimasu - chơi,Verbs
ぜひ,zehi - nhất định,Adverbs
まだ,mada - vẫn chưa,Adverbs
もう,mou - đã, rồi,Adverbs
そうしましょう,soushimashou - làm như thế đi,Expressions
わかりました,wakarimashita - tôi hiểu rồi,Expressions
もう ～ Vました。,đã ~ rồi,Expressions
かいさつ,kaisatsu - Soát vé,Places
き,ki - cây, gỗ,Nature
こうばん,kouban - đồn cảnh sát,Places
じどうはんばいき,jidouhanbaiki - máy bán hàng tự động,Technology
ポスト,posuto - hộp thư,Places
はな,hana - hoa,Nature
いぬ,inu - con chó,Animals
きた,kita - phía Bắc,Directions
ひがし,higashi - phía Đông,Directions
みなみ,minami - phía Nam,Directions
にし,nishi - phía Tây,Directions
くるま,kuruma - ô tô, xe hơi,Transportation
あいだ,aida - giữa,Directions
うえ,ue - bên trên,Directions
した,shita - dưới, bên dưới,Directions
ちかく,chikaku - gần,Directions
となり,tonari - bên cạnh,Directions
なか,naka - bên trong,Directions
そと,soto - bên ngoài,Directions
まえ,mae - phía trước,Directions
うしろ,ushiro - phía sau,Directions
みぎ,migi - bên phải,Directions
ひだり,hidari - bên trái,Directions
むかえにいきます,mukaeniikimasu - đi đón,Verbs
います,imasu - có( con người, động vật),Verbs
もしもし,moshimoshi - alo,Phrases
いす,isu - ghế,Objects
テーブル,teeburu - cái bàn,Objects
でんしれんじ,denshirenzi - lò vi sóng,Objects
れいぞうこ,reizouko - tủ lạnh,Objects
さとう,satou - đường ăn,Food
しお,shio - muối,Food
しょうゆ,shouyu - xì dầu, nước tương,Food
コップ,Koppu - cốc( không quai),Tableware
カップ,kappu - cốc ( có quai),Tableware
おさら,osara - đĩa,Tableware
スプーン,SUPUUN - thìa,Tableware
ナイフ,naifu - con dao,Tableware
フォーク,fooku - dĩa,Tableware
はし,hashi - đũa,Tableware
どれ,dore - cái nào,Question Words
どの N,dono N - cái N nào,Question Words
あらいます,araimasu - giặt, rửa ,tắm,Verbs
おきます,okimasu - đặt, để,Verbs
おきます,okimasu - thức dậy,Verbs
かきます,kakimasu - viết,Verbs
かします,kashimasu - cho mượn, cho vay,Verbs
ききます,kikimasu - nghe, hỏi,Verbs
きります,kirimasu - cắt,Verbs
つかいます,tsukaimasu - dùng, sử dụng,Verbs
てつだいます,tetsudaimasu - giúp đỡ,Verbs
とります,torimasu - cầm,lấy,Verbs
わかります,wakarimasu - hiểu, nắm được,Verbs
だします,dashimasu - nộp, lấy ra,Verbs
いれます,iremasu - cho vào, bỏ vào,Verbs
おしえます,oshiemasu - dạy,Verbs
たくさん,takusan - nhiều,Adverbs
すみません,Sumimasen - xin lỗi,Phrases
いいですね,iidesune - Được đấy nhỉ./ Hay quá.,Phrases
おります,orimasu - rơi xuống,Verbs
あびます,abimasu - tắm,Verbs
かります,karimasu - mượn,Verbs
たります,tarimasu - đủ,Verbs
みます,mimasu - nhìn thấy,Verbs
います,imasu - có,Verbs
ねます,nemasu - ngủ, đi ngủ,Verbs
きます,kimasu - mặc,Verbs
きます,kimasu - đến,Verbs
します,shimasu - làm,Verbs
N + します,N + shimasu - N + làm,Verbs
東,higashi/tou - đông,Directions
京,kyou - kinh,Locations
名,na/mei - danh,Misc
前,mae/zen - tiền,Directions
国,kuni/koku - quốc,Locations
男,otoko/dan - nam,Misc
女,onna/jo - nữ,Misc
女,onna/jo - nữ,Misc
区,ku - khu,Locations
市,shi - thị,Locations
先,saki/sen - tiên,Directions
週,shuu - chu (tuần),Time
毎,mai - mỗi,Time
午,go - ngọ (chính ngọ),Time
後,go/ato - hậu (sau/phía sau),Directions
見,ken/mi・masu - kiến (nhìn),Verbs
食,shoku/ta・bemasu - thực (ăn),Verbs
飲,in/no・mimasu - ẩm (uống),Verbs
買,bai/ka・imasu - mãi (mua),Verbs
物,butsu/mono - vật,Objects
行,kou/gyou/i・kimasu - hành/hàng (đi),Verbs
休,kyuu/yasu・mimasu - hưu,Verbs
あまり + A(い)くないです,không ~ lắm,Grammar
A(な)じゃありません,không ~ lắm,Grammar
ぜんぜん + A(い)くないです,hoàn toàn không,Grammar
A(な)じゃありません,hoàn toàn không,Grammar
[Nơi chốn] の [phương hướng/ vị trí],,Patterns
N(phương tiện) で Vます,,Patterns
N(nơi chốn) から N(nơi chốn)まで どのくらい ですか,Patterns
Số đếm ＋ じかん,~ tiếng,Time
[số +日間] （にちかん）,~ ngày,Time
số đếm + いっしゅうかん,~ tuần,Time
số đếm + かげつ,~ tháng,Time
Số + 年間 (ねんかん ),~ năm (Cách đếm số năm),Time
ぜひ → たい, zehi (ぜひ) luôn đi với tai (たい), Grammar
